PERIODOS;APROVACAO POR MEDIA;APROVACAO;REPROVACAO;REPROVACAO POR FALTA;SITUACAO
1;3;2;3;0;nao-concluiu
8;53;8;0;0;concluiu
16;20;9;3;60;nao-concluiu
8;59;4;0;0;concluiu
11;54;5;0;1;nao-concluiu
8;53;7;1;0;concluiu
4;21;7;2;2;nao-concluiu
9;44;18;2;1;concluiu 
13;0;3;6;65;nao-concluiu
13;0;7;4;38;nao-concluiu
1;0;0;0;0;nao-concluiu
1;0;0;0;6;nao-concluiu
1;0;0;0;8;nao-concluiu
1;0;0;0;0;nao-concluiu
9;43;4;1;3;nao-concluiu
5;7;1;7;16;nao-concluiu
10;51;5;1;5;concluiu
3;12;2;1;7;nao-concluiu
1;0;0;1;7;nao-concluiu
1;0;0;0;0;nao-concluiu
14;44;18;13;3;concluiu
2;8;0;0;8;nao-concluiu
2;8;0;0;8;nao-concluiu
9;45;17;6;0;concluiu
1;4;2;3;1;nao-concluiu
1;0;0;0;8;nao-concluiu
1;0;0;0;0;nao-concluiu
4;8;4;3;8;nao-concluiu
2;10;1;0;0;nao-concluiu
8;53;7;1;0;concluiu
2;8;2;2;0;nao-concluiu
13;46;16;4;11;concluiu
8;56;4;0;0;nao-concluiu
9;56;5;1;1;concluiu
6;24;3;6;5;nao-concluiu
2;8;7;0;1;nao-concluiu
11;32;14;4;11;concluiu
2;3;3;1;6;nao-concluiu
1;0;0;0;7;nao-concluiu
1;0;0;0;8;nao-concluiu
5;20;3;1;15;nao-concluiu
8;49;11;1;0;concluiu
2;2;1;2;5;nao-concluiu
3;1;0;0;14;nao-concluiu
1;0;0;0;0;nao-concluiu
3;6;1;5;11;nao-concluiu
1;0;0;0;8;nao-concluiu
1;0;0;0;7;nao-concluiu
13;29;6;4;38;nao-concluiu
3;8;1;0;13;nao-concluiu
1;0;0;0;6;nao-concluiu
8;27;3;5;7;nao-concluiu
2;0;0;0;11;nao-concluiu
1;0;0;0;8;nao-concluiu
1;0;0;0;8;nao-concluiu
1;0;0;0;0;nao-concluiu
11;18;6;1;18;nao-concluiu
2;7;0;0;5;nao-concluiu
12;44;18;5;7;concluiu
1;1;0;1;6;nao-concluiu
4;12;3;2;13;nao-concluiu
3;15;1;0;7;nao-concluiu
1;0;0;0;8;nao-concluiu
1;0;0;0;0;nao-concluiu
8;59;1;0;0;concluiu
7;27;2;2;17;nao-concluiu
1;0;0;0;7;nao-concluiu
2;4;3;4;0;nao-concluiu
13;28;12;5;14;nao-concluiu
4;4;0;1;18;nao-concluiu
12;43;18;0;4;concluiu
1;0;0;0;0;nao-concluiu
8;56;6;2;0;concluiu
1;0;0;0;0;nao-concluiu
3;12;0;3;7;nao-concluiu
1;0;0;0;8;nao-concluiu
5;3;1;1;27;nao-concluiu
2;4;0;0;6;nao-concluiu
1;0;0;0;0;nao-concluiu
3;1;2;1;20;nao-concluiu
6;26;9;3;0;nao-concluiu
8;30;11;7;10;nao-concluiu
1;0;0;0;8;nao-concluiu
1;0;0;0;8;nao-concluiu
1;0;0;0;8;nao-concluiu
11;57;2;0;2;concluiu
1;0;0;0;8;nao-concluiu
8;51;10;3;1;concluiu
12;56;9;1;4;concluiu
1;6;2;0;0;nao-concluiu
1;0;0;0;8;nao-concluiu
5;17;1;3;3;nao-concluiu
1;0;0;0;8;nao-concluiu
1;0;0;0;7;nao-concluiu
13;48;12;4;10;concluiu
1;4;3;1;0;nao-concluiu
1;0;0;0;0;nao-concluiu
9;23;2;3;23;nao-concluiu
12;53;9;2;4;nao-concluiu
9;50;10;5;2;concluiu
9;44;17;6;0;concluiu
1;0;0;0;0;nao-concluiu
1;0;0;0;6;nao-concluiu
4;25;5;3;7;nao-concluiu
6;18;7;7;7;nao-concluiu
2;8;1;2;1;nao-concluiu
9;48;13;7;0;concluiu
15;43;7;3;0;concluiu
2;5;0;0;10;nao-concluiu
8;58;3;0;0;concluiu
8;58;2;0;0;concluiu
1;0;0;1;7;nao-concluiu
9;55;5;0;1;concluiu
9;54;7;3;0;concluiu
1;0;0;0;1;nao-concluiu
1;4;2;2;0;nao-concluiu
1;0;0;0;0;nao-concluiu
2;0;0;0;10;nao-concluiu
2;6;1;3;6;nao-concluiu
1;0;0;0;7;nao-concluiu
10;35;3;3;23;nao-concluiu
8;52;11;3;0;concluiu
12;48;14;14;5;concluiu
9;14;9;3;28;nao-concluiu
8;54;8;3;0;concluiu
1;1;0;1;4;nao-concluiu
4;6;4;3;10;nao-concluiu
9;21;6;5;23;nao-concluiu
4;6;6;6;1;nao-concluiu
1;0;0;0;8;nao-concluiu
9;50;11;3;1;concluiu
9;11;2;1;15;nao-concluiu
7;34;9;7;4;nao-concluiu
1;0;0;0;8;nao-concluiu
1;0;0;0;8;nao-concluiu
14;48;16;4;11;concluiu
1;4;2;2;0;nao-concluiu
8;57;5;2;0;concluiu
15;34;5;1;43;nao-concluiu
1;0;0;0;6;nao-concluiu
1;0;0;0;0;nao-concluiu
1;6;1;0;0;nao-concluiu
8;55;5;1;0;concluiu
11;54;6;0;3;concluiu
1;0;0;0;0;nao-concluiu
1;0;0;0;0;nao-concluiu
2;5;4;1;2;nao-concluiu
1;1;0;1;4;nao-concluiu
11;55;3;0;1;nao-concluiu
3;4;0;4;14;nao-concluiu
12;53;7;3;5;concluiu
3;14;2;0;8;nao-concluiu
1;0;0;1;6;nao-concluiu
5;5;0;1;21;nao-concluiu
1;0;0;0;0;nao-concluiu
8;54;7;3;0;concluiu
19;50;11;4;18;nao-concluiu
8;62;1;0;0;concluiu
8;56;4;1;0;concluiu
12;20;3;4;42;nao-concluiu
5;7;0;0;7;nao-concluiu
6;20;1;0;20;nao-concluiu
8;38;6;0;0;concluiu
10;34;8;5;6;nao-concluiu
11;15;0;4;0;nao-concluiu
10;25;2;0;8;nao-concluiu
12;62;3;0;7;concluiu
5;12;5;3;11;nao-concluiu
1;0;0;0;7;nao-concluiu
2;0;0;0;11;nao-concluiu
10;56;4;1;0;concluiu
18;52;9;2;21;nao-concluiu
5;6;9;2;4;nao-concluiu
11;32;10;5;11;nao-concluiu
10;31;12;3;0;concluiu
9;28;12;3;14;nao-concluiu
1;0;0;0;8;nao-concluiu
9;51;11;7;0;concluiu
7;13;3;1;26;nao-concluiu
1;0;0;0;6;nao-concluiu
10;47;13;3;2;concluiu
8;57;2;0;0;concluiu
9;43;7;5;4;nao-concluiu
1;1;0;0;7;nao-concluiu
2;11;1;0;0;nao-concluiu
8;49;12;1;0;concluiu
1;5;0;0;2;nao-concluiu
8;55;10;1;0;concluiu
8;57;10;1;0;concluiu
12;55;6;0;0;concluiu
8;58;5;0;0;concluiu
1;0;0;0;6;nao-concluiu
3;13;3;0;0;nao-concluiu
1;0;0;0;0;nao-concluiu
6;0;0;2;14;nao-concluiu
3;0;0;0;6;nao-concluiu
4;4;2;0;21;nao-concluiu
3;1;0;0;13;nao-concluiu
8;55;6;0;0;concluiu
1;0;0;0;0;nao-concluiu
10;47;15;2;0;concluiu
5;13;5;2;17;nao-concluiu
8;51;9;0;0;concluiu
